subject,age1,age2
S-01,47,42
S-02,52,NA
S-03,55,55
S-04,48,48
S-05,50,48
S-06,51,50
S-07,47,49
S-08,45,48
S-09,55,55
S-10,40,48
S-11,50,54
S-12,54,50
S-13,50,55
S-14,45,52
S-15,58,51
S-16,45,49
S-17,42,51
S-18,45,48
S-19,52,49
S-20,40,NA
S-21,45,52
S-22,52,52
S-23,50,50
S-24,32,30
S-25,56,54
S-26,48,NA
S-27,29,29
S-28,49,53
S-29,50,52
S-30,38,45
S-31,36,NA
S-32,48,50
S-33,55,50
S-34,48,50
S-35,52,48
S-36,42,45
S-37,40,50
S-38,50,51
S-39,45,NA
S-40,45,50
S-41,45,48
S-42,50,NA
S-43,43,41
S-44,47,50
S-45,41,43
S-46,52,51
S-47,50,52
