paper,year,love.lbs,lovewt.low50,lovewt.high50,lovewt.low90,lovewt.high90
1701,2017,250,200,230,260,280
1702,2017,220,200,240,150,290
1703,2017,220,200,240,110,330
1704,2017,220,200,240,170,270
1705,2017,270,260,280,200,320
1706,2017,260,150,300,220,280
1707,2017,300,150,450,240,360
1708,2017,300,265,335,250,400
1709,2017,260,200,275,240,270
1710,2017,350,300,450,200,350
1711,2017,250,200,300,100,400
1712,2017,320,300,340,270,370
1713,2017,265,185,295,245,285
1714,2017,220,200,220,200,260
1715,2017,250,240,260,220,260
1716,2017,220,200,240,180,260
1717,2017,275,250,320,220,350
1718,2017,300,280,310,250,400
1719,2017,280,200,350,275,300
1720,2017,275,260,360,265,300
1721,2017,250,200,360,160,460
1722,2017,250,200,250,175,275
1723,2017,320,150,500,290,350
1724,2017,260,220,270,200,300
1725,2017,240,180,300,150,400
1726,2017,250,240,280,200,350
1727,2017,275,250,300,200,300
1728,2017,440,430,450,420,460
1729,2017,320,275,365,220,400
1730,2017,286,250,310,200,360
1731,2017,240,220,260,200,280
1732,2017,200,190,210,100,300
1733,2017,310,290,320,270,340
1734,2017,290,280,300,255,325
1735,2017,182,160,220,175,190
1736,2017,300,290,310,250,380
1737,2017,200,100,200,175,300
1738,2017,290,250,330,210,370
1739,2017,240,210,270,200,280
1740,2017,280,280,300,250,310
1741,2017,240,100,150,200,260
1742,2017,230,150,250,100,300
1743,2017,240,180,270,160,280
1744,2017,340,320,360,280,400
