id,potency
D001,45.8
D002,41.6
D003,49.6
D004,30.6
D005,44.5
D006,31.2
D007,46.2
D008,45.9
D009,64.9
D010,39.7
D011,47.9
D012,44.7
D013,36
D014,43.3
D015,44.6
D016,48.9
D017,38.5
D018,23.2
D019,41.8
D020,37
D021,54.2
D022,44.1
D023,38.4
D024,44.1
D025,50.4
D026,38.5
D027,44.6
D028,32.4
D029,45.4
D030,47
D031,43.9
D032,37.9
D033,35.6
D034,42.5
D035,46.5
D036,43
D037,43.4
D038,49.7
D039,35.2
D040,41.4
D041,39.9
D042,49.7
D043,41.1
D044,44.3
D045,50.6
D046,48.5
D047,42.1
D048,40.8
D049,42.7
D050,34.1
D051,43.5
D052,43.4
D053,53.6
D054,42.3
D055,48.4
D056,44.1
D057,30.5
D058,49.1
D059,38.9
D060,31.6
D061,40.4
D062,39.1
D063,57.1
D064,45
D065,37.2
D066,41.2
D067,43.7
D068,39.4
D069,42.4
D070,46.7
D071,57.6
D072,41.5
D073,43.6
D074,51.7
D075,42.3
D076,41.4
D077,41.4
D078,41.5
D079,53.4
D080,36.4
D081,36.9
