student,ageguess,year,love_actual_age
201701,52,2017,50.5
201702,48,2017,50.5
201703,55,2017,50.5
201704,55,2017,50.5
201705,50,2017,50.5
201706,44,2017,50.5
201707,45,2017,50.5
201708,50,2017,50.5
201709,48,2017,50.5
201710,55,2017,50.5
201711,45,2017,50.5
201712,54,2017,50.5
201713,52,2017,50.5
201714,45,2017,50.5
201715,45,2017,50.5
201716,50,2017,50.5
201717,40,2017,50.5
201718,47,2017,50.5
201719,56,2017,50.5
201720,45,2017,50.5
201721,40,2017,50.5
201722,35,2017,50.5
201723,32,2017,50.5
201724,50,2017,50.5
201725,48,2017,50.5
201726,40,2017,50.5
201727,42,2017,50.5
201728,45,2017,50.5
201729,47,2017,50.5
201730,38,2017,50.5
201731,45,2017,50.5
201732,45,2017,50.5
201733,40,2017,50.5
201734,45,2017,50.5
201735,50,2017,50.5
201736,29,2017,50.5
201737,51,2017,50.5
201738,50,2017,50.5
201739,47,2017,50.5
201740,45,2017,50.5
201741,48,2017,50.5
201742,50,2017,50.5
201743,55,2017,50.5
201744,52,2017,50.5
201745,58,2017,50.5
201746,42,2017,50.5
201747,41,2017,50.5
201748,43,2017,50.5
201601,45,2016,49.5
201602,53,2016,49.5
201603,60,2016,49.5
201604,37,2016,49.5
201605,35,2016,49.5
201606,43,2016,49.5
201607,45,2016,49.5
201608,46,2016,49.5
201609,50,2016,49.5
201610,50,2016,49.5
201611,NA,2016,49.5
201612,60,2016,49.5
201613,42,2016,49.5
201614,39,2016,49.5
201615,48,2016,49.5
201616,47,2016,49.5
201617,45,2016,49.5
201618,42,2016,49.5
201619,49,2016,49.5
201620,52,2016,49.5
201621,43,2016,49.5
201622,50,2016,49.5
201623,45,2016,49.5
201624,53,2016,49.5
201625,NA,2016,49.5
201626,46,2016,49.5
201627,40,2016,49.5
201628,43,2016,49.5
201629,47,2016,49.5
201630,45,2016,49.5
201631,48,2016,49.5
201632,47,2016,49.5
201633,41,2016,49.5
201634,45,2016,49.5
201635,52,2016,49.5
201636,24,2016,49.5
201637,49,2016,49.5
201638,42,2016,49.5
201639,70,2016,49.5
201640,53,2016,49.5
201641,54,2016,49.5
201642,48,2016,49.5
201643,40,2016,49.5
201644,47,2016,49.5
201645,43,2016,49.5
201646,46,2016,49.5
201647,38,2016,49.5
201648,48,2016,49.5
201649,NA,2016,49.5
201650,50,2016,49.5
201651,35,2016,49.5
201652,50,2016,49.5
201653,45,2016,49.5
201654,48,2016,49.5
201655,44,2016,49.5
201656,55,2016,49.5
201657,48,2016,49.5
201658,52,2016,49.5
201659,45,2016,49.5
201660,38,2016,49.5
201661,32,2016,49.5
201662,47,2016,49.5
201663,40,2016,49.5
201664,40,2016,49.5
201501,48,2015,48.5
201502,52,2015,48.5
201503,47,2015,48.5
201504,47,2015,48.5
201505,46,2015,48.5
201506,40,2015,48.5
201507,42,2015,48.5
201508,49,2015,48.5
201509,48,2015,48.5
201510,42,2015,48.5
201511,48,2015,48.5
201512,40,2015,48.5
201513,54,2015,48.5
201514,50,2015,48.5
201515,45,2015,48.5
201516,44,2015,48.5
201517,45,2015,48.5
201518,36,2015,48.5
201519,47,2015,48.5
201520,45,2015,48.5
201521,50,2015,48.5
201522,41,2015,48.5
201523,52,2015,48.5
201524,48,2015,48.5
201525,46,2015,48.5
201526,42,2015,48.5
201527,45,2015,48.5
201528,50,2015,48.5
201529,47,2015,48.5
201530,47,2015,48.5
201531,42,2015,48.5
201532,53,2015,48.5
201533,53,2015,48.5
201534,51,2015,48.5
201535,55,2015,48.5
201536,53,2015,48.5
201537,47,2015,48.5
201538,49,2015,48.5
201539,42,2015,48.5
201540,45,2015,48.5
201541,47,2015,48.5
201542,37,2015,48.5
201543,49,2015,48.5
201544,53,2015,48.5
201545,48,2015,48.5
201546,53,2015,48.5
201547,48,2015,48.5
201548,57,2015,48.5
201549,44,2015,48.5
201401,42,2014,47.5
201402,40,2014,47.5
201403,38,2014,47.5
201404,46,2014,47.5
201405,45,2014,47.5
201406,44,2014,47.5
201407,52,2014,47.5
201408,55,2014,47.5
201409,40,2014,47.5
201410,46,2014,47.5
201411,54,2014,47.5
201412,53,2014,47.5
201413,45,2014,47.5
201414,52,2014,47.5
201415,45,2014,47.5
201416,52,2014,47.5
201417,58,2014,47.5
201418,40,2014,47.5
201419,45,2014,47.5
201420,48,2014,47.5
201421,45,2014,47.5
201422,40,2014,47.5
201423,40,2014,47.5
201424,55,2014,47.5
201425,49,2014,47.5
201426,45,2014,47.5
201427,46,2014,47.5
201428,50,2014,47.5
201429,56,2014,47.5
201430,55,2014,47.5
201431,50,2014,47.5
201432,NA,2014,47.5
201433,47,2014,47.5
201434,45,2014,47.5
201435,45,2014,47.5
201436,47,2014,47.5
201437,42,2014,47.5
201438,53,2014,47.5
201439,50,2014,47.5
201440,47,2014,47.5
201441,52,2014,47.5
201442,42,2014,47.5
