year,lead_male,age_lead_male,lead_female,age_lead_female
1967,Paul Scofield,45,Elizabeth Taylor,35
1968,Rod Steiger,42,Katharine Hepburn,60
1969,Cliff Robertson,45,Katharine Hepburn,61
1970,John Wayne,62,Maggie Smith,35
1971,George C. Scott,43,Glenda Jackson,34
1972,Gene Jackman,42,Jane Fonda,34
1973,Marlon Brando,48,Liza Minnelli,27
1974,Jack Lemmon,49,Glenda Jackson,37
1975,Art Carney,56,Ellen Burstyn,42
1976,Jack Nicholson,38,Louise Fletcher,41
1977,Peter Finch,60,Faye Dunaway,36
1978,Richard Dreyfuss,30,Diane Keaton,32
1979,Jon Voight,40,Jane Fonda,41
1980,Dustin Hoffman,42,Sally Field,33
1981,Robert De Niro,37,Sissy Spacek,31
1982,Henry Fonda,76,Katharine Hepburn,74
1983,Ben Kingsley,39,Meryl Streep,33
1984,Robert Duvall,53,Shirley MacLaine,49
1985,F. Murray Abraham,45,Sally Field,38
1986,William Hurt,36,Geraldine Page,61
1987,Paul Newman,62,Marlee Matlin,21
1988,Michael Douglas,43,Cher,41
1989,Dustin Hoffman,51,Jodie Foster,26
1991,Jeremy Irons,42,Kathy Bates,42
1992,Anthony Hopkins,54,Jodie Foster,29
1993,Al Pacino,52,Emma Thompson,33
1994,Tom Hanks,37,Holly Hunter,36
1995,Tom Hanks,38,Jessica Lange,45
1996,Nicolas Cage,32,Susan Sarandon,49
1997,Geoffrey Rush,45,Frances McDormand,39
1998,Jack Nicholson,60,Helen Hunt,34
1999,Roberto Benigni,46,Gwyneth Paltrow,26
2000,Kevin Spacey,40,Hilary Swank,25
2001,Russell Crowe,36,Julia Roberts,33
2002,Denzel Washington,47,Halle Berry,35
2003,Adrien Brody,29,Nicole Kidman,35
2004,Sean Penn,43,Charlize Theron,28
2005,Jamie Foxx,37,Hilary Swank,30
2006,Philip Seymour Hoffman,38,Reese Witherspoon,29
2007,Forest Whitaker,45,Helen Mirren,61
2008,Daniel Day-Lewis,50,Marion Cotillard,32
2009,Sean Penn,48,Kate Winslet,33
2010,Jeff Bridges,60,Sandra Bullock,45
2011,Colin Firth,50,Natalie Portman,29
2012,Jean Dujardin,39,Meryl Streep,62
2013,Daniel Day-Lewis,55,Jennifer Lawrence,22
2014,Matthew McConaughey,44,Cate Blanchett,44
2015,Eddie Redmayne,33,Julianne Moore,54
2016,Leonardo DiCaprio,41,Brie Larson,26
2017,Casey Affleck,41,Emma Stone,28
